stars,forks,watchers,open_issues,size
2942,616,2942,116,238
2942,415,2942,136,52176
2942,118,2942,162,9
2942,226,2942,109,3794
2942,315,2942,73,133
2942,388,2942,60,1598
2942,106,2942,25,658
2942,103,2942,11,8078
2942,320,2942,31,67904
2942,371,2942,328,90178
2941,276,2941,47,1179
2941,393,2941,31,6037
2941,1101,2941,6,421
2941,192,2941,168,3453
2941,480,2941,1,1628
2941,658,2941,6,10865
2940,263,2940,19,1642
2940,543,2940,85,4027
2940,166,2940,59,2118
2940,216,2940,22,1477
2940,95,2940,34,1375
2940,256,2940,187,1117
2940,1261,2940,46,32445
2940,794,2940,13,241
2939,262,2939,6,128
2939,825,2939,11,754
2939,1055,2939,261,2049
2939,458,2939,61,36844
2939,242,2939,6,3691
2938,338,2938,2,132900
2938,2522,2938,0,462030
2938,2601,2938,140,9009
2937,700,2937,331,45193
2937,344,2937,18,603
2937,357,2937,3,330
2937,210,2937,62,9162
2937,14,2937,14,1917
2936,136,2936,32,882
2936,750,2936,3,204
2936,694,2936,24,349619
2936,301,2936,1,345
2936,464,2936,15,115396
2936,1287,2936,12,62715
2936,541,2936,143,7065
2936,273,2936,169,171
2935,289,2935,46,37187
2935,317,2935,74,311
2935,992,2935,0,7328
2935,304,2935,12,123
2935,2093,2935,702,409022
2934,86,2934,110,731
2934,580,2934,1,229
2934,349,2934,44,1373
2933,858,2933,636,1841
2933,189,2933,12,5790
2933,598,2933,109,37248
2933,761,2933,306,305736
2933,545,2933,15,265
2932,819,2932,52,134
2932,353,2932,106,9659
2931,704,2931,308,1010637
2931,420,2931,99,747
2931,262,2931,75,3015
2931,707,2931,15,342089
2931,789,2931,11,159
2931,153,2931,17,226
2931,1615,2931,5,1157
2931,1808,2931,18,238592
2931,538,2931,2,95170
2930,236,2930,29,12867
2930,195,2930,11,52
2930,606,2930,5,6342
2929,553,2929,26,87
2929,1501,2929,30,30417
2929,144,2929,0,851
2929,637,2929,7,18111
2928,318,2928,102,164865
2928,447,2928,757,64418
2928,223,2928,156,42060
2928,921,2928,127,6979
2928,488,2928,3,8297
2928,171,2928,42,24119
2927,959,2927,45,9854
2927,262,2927,282,10334
2927,312,2927,89,1793
2926,1283,2926,40,648151
2926,553,2926,809,43186
2926,532,2926,1,158
2926,446,2926,76,222
2926,61,2926,12,9625
2926,107,2926,10,13781
2926,375,2926,16,7376
2926,301,2926,38,34172
2926,216,2926,5,234
2926,356,2926,102,4907
2925,602,2925,79,6202
2925,331,2925,12,169
2925,273,2925,73,123
2925,232,2925,9,14106
2925,2116,2925,56,2815
2925,530,2925,159,380
2925,298,2925,108,7938
2925,277,2925,10,175
2925,232,2925,20,25413
2924,430,2924,10,34012
2924,271,2924,26,290394
2924,465,2924,347,54561
2924,201,2924,76,9342
2923,236,2923,103,309
2921,246,2921,21,2772
2921,195,2921,41,159
2920,303,2920,7,134920
2920,742,2920,111,7376
2920,300,2920,27,3470
2920,362,2920,128,1005
2920,831,2920,66,7757
2920,589,2920,11,187
2920,255,2920,266,40113
2919,229,2919,78,7559
2919,1772,2919,325,735
2919,226,2919,329,75667
2918,482,2918,162,988
2918,1124,2918,337,196318
2918,212,2918,3,3533
2918,743,2918,259,16533
2918,396,2918,50,4054
2918,458,2918,21,4575
2918,744,2918,4,8887
2917,485,2917,40,15265
2917,263,2917,0,987
2917,839,2917,44,2604
2917,279,2917,21,1084
2917,794,2917,176,92004
2917,389,2917,28,55522
2917,1012,2917,55,3642
2917,224,2917,72,2583
2916,503,2916,82,10275
2916,1510,2916,104,30345
