name,full_name,stars,forks,watchers,commits,forks_url,watchers_url,created_at,open_issues,size,age,language_ActionScript,language_Assembly,language_Awk,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_CodeQL,language_CoffeeScript,language_Common Lisp,language_Cuda,language_Dart,language_Dockerfile,language_Emacs Lisp,language_Erlang,language_Go,language_Groovy,language_HTML,language_Hack,language_Handlebars,language_Java,language_JavaScript,language_Jsonnet,language_Jupyter Notebook,language_Kotlin,language_Less,language_Lua,language_MATLAB,language_Makefile,language_NSIS,language_Nunjucks,language_OCaml,language_Objective-C,language_PHP,language_PLpgSQL,language_Perl,language_PowerShell,language_Python,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Scheme,language_Shell,language_Swift,language_TypeScript,language_Vim Script,language_Vim script,language_VimL,language_Vue,language_WebAssembly,language_Wren
auto-sklearn,automl/auto-sklearn,6966,1222,6966,https://api.github.com/repos/automl/auto-sklearn/commits{/sha},https://api.github.com/repos/automl/auto-sklearn/forks,https://api.github.com/repos/automl/auto-sklearn/subscribers,2015-07-02 15:38:10+00:00,157,126901,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jwt,lcobucci/jwt,6965,586,6965,https://api.github.com/repos/lcobucci/jwt/commits{/sha},https://api.github.com/repos/lcobucci/jwt/forks,https://api.github.com/repos/lcobucci/jwt/subscribers,2014-03-05 19:23:23+00:00,9,2639,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaddleGAN,PaddlePaddle/PaddleGAN,6965,1161,6965,https://api.github.com/repos/PaddlePaddle/PaddleGAN/commits{/sha},https://api.github.com/repos/PaddlePaddle/PaddleGAN/forks,https://api.github.com/repos/PaddlePaddle/PaddleGAN/subscribers,2020-06-18 10:56:01+00:00,249,167506,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGSwipeTableCell,MortimerGoro/MGSwipeTableCell,6963,1083,6963,https://api.github.com/repos/MortimerGoro/MGSwipeTableCell/commits{/sha},https://api.github.com/repos/MortimerGoro/MGSwipeTableCell/forks,https://api.github.com/repos/MortimerGoro/MGSwipeTableCell/subscribers,2014-08-09 13:56:25+00:00,129,2169,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morris.js,morrisjs/morris.js,6961,1255,6961,https://api.github.com/repos/morrisjs/morris.js/commits{/sha},https://api.github.com/repos/morrisjs/morris.js/forks,https://api.github.com/repos/morrisjs/morris.js/subscribers,2012-02-21 22:51:27+00:00,327,1505,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mac-setup,sb2nov/mac-setup,6960,1016,6960,https://api.github.com/repos/sb2nov/mac-setup/commits{/sha},https://api.github.com/repos/sb2nov/mac-setup/forks,https://api.github.com/repos/sb2nov/mac-setup/subscribers,2013-07-01 14:57:31+00:00,26,10975,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
covid-19-data,nytimes/covid-19-data,6960,3492,6960,https://api.github.com/repos/nytimes/covid-19-data/commits{/sha},https://api.github.com/repos/nytimes/covid-19-data/forks,https://api.github.com/repos/nytimes/covid-19-data/subscribers,2020-03-24 23:41:39+00:00,1,10178926,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adminjs,SoftwareBrothers/adminjs,6959,556,6959,https://api.github.com/repos/SoftwareBrothers/adminjs/commits{/sha},https://api.github.com/repos/SoftwareBrothers/adminjs/forks,https://api.github.com/repos/SoftwareBrothers/adminjs/subscribers,2018-11-23 22:16:42+00:00,115,50570,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nvim-treesitter,nvim-treesitter/nvim-treesitter,6959,610,6959,https://api.github.com/repos/nvim-treesitter/nvim-treesitter/commits{/sha},https://api.github.com/repos/nvim-treesitter/nvim-treesitter/forks,https://api.github.com/repos/nvim-treesitter/nvim-treesitter/subscribers,2020-04-18 15:24:10+00:00,278,5004,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
isomorphic-fetch,matthew-andrews/isomorphic-fetch,6958,338,6958,https://api.github.com/repos/matthew-andrews/isomorphic-fetch/commits{/sha},https://api.github.com/repos/matthew-andrews/isomorphic-fetch/forks,https://api.github.com/repos/matthew-andrews/isomorphic-fetch/subscribers,2014-11-07 08:46:13+00:00,54,59,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reachability,tonymillion/Reachability,6958,1263,6958,https://api.github.com/repos/tonymillion/Reachability/commits{/sha},https://api.github.com/repos/tonymillion/Reachability/forks,https://api.github.com/repos/tonymillion/Reachability/subscribers,2011-11-12 00:45:36+00:00,72,137,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
puppet,puppetlabs/puppet,6956,2261,6956,https://api.github.com/repos/puppetlabs/puppet/commits{/sha},https://api.github.com/repos/puppetlabs/puppet/forks,https://api.github.com/repos/puppetlabs/puppet/subscribers,2010-09-14 19:26:44+00:00,36,87503,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tortoise-tts,neonbjb/tortoise-tts,6956,937,6956,https://api.github.com/repos/neonbjb/tortoise-tts/commits{/sha},https://api.github.com/repos/neonbjb/tortoise-tts/forks,https://api.github.com/repos/neonbjb/tortoise-tts/subscribers,2022-01-28 04:33:15+00:00,165,54888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cowboy,ninenines/cowboy,6955,1177,6955,https://api.github.com/repos/ninenines/cowboy/commits{/sha},https://api.github.com/repos/ninenines/cowboy/forks,https://api.github.com/repos/ninenines/cowboy/subscribers,2011-03-09 19:55:52+00:00,106,8375,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
