stars,forks,watchers,open_issues,size,created_at,updated_at,name,full_name,commits,forks_url,watchers_url,language_AsciiDoc,language_Assembly,language_Batchfile,language_C,language_C#,language_C++,language_CSS,language_Clojure,language_Dart,language_Dockerfile,language_Elixir,language_Emacs Lisp,language_Go,language_HTML,language_Haskell,language_Java,language_JavaScript,language_Jinja,language_Julia,language_Jupyter Notebook,language_Kotlin,language_Lua,language_Makefile,language_Markdown,language_Nunjucks,language_OCaml,language_Objective-C,language_PHP,language_Python,language_Roff,language_Ruby,language_Rust,language_SCSS,language_Scala,language_Shell,language_Svelte,language_Swift,language_TeX,language_TypeScript,language_V,language_Vim Script,language_Vim script,language_Vue,language_Zig
42551,18097,42551,77,131202,2013,2023,AdminLTE,ColorlibHQ/AdminLTE,https://api.github.com/repos/ColorlibHQ/AdminLTE/commits{/sha},https://api.github.com/repos/ColorlibHQ/AdminLTE/forks,https://api.github.com/repos/ColorlibHQ/AdminLTE/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42486,8692,42486,35,55238,2015,2023,v2ray-core,v2ray/v2ray-core,https://api.github.com/repos/v2ray/v2ray-core/commits{/sha},https://api.github.com/repos/v2ray/v2ray-core/forks,https://api.github.com/repos/v2ray/v2ray-core/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42453,5530,42453,55,1974,2018,2023,clash,Dreamacro/clash,https://api.github.com/repos/Dreamacro/clash/commits{/sha},https://api.github.com/repos/Dreamacro/clash/forks,https://api.github.com/repos/Dreamacro/clash/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42448,5199,42448,4582,266488,2011,2023,julia,JuliaLang/julia,https://api.github.com/repos/JuliaLang/julia/commits{/sha},https://api.github.com/repos/JuliaLang/julia/forks,https://api.github.com/repos/JuliaLang/julia/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42441,2496,42441,49,7532,2014,2023,pi-hole,pi-hole/pi-hole,https://api.github.com/repos/pi-hole/pi-hole/commits{/sha},https://api.github.com/repos/pi-hole/pi-hole/forks,https://api.github.com/repos/pi-hole/pi-hole/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
42418,4801,42418,1512,33616,2022,2023,langchain,hwchase17/langchain,https://api.github.com/repos/hwchase17/langchain/commits{/sha},https://api.github.com/repos/hwchase17/langchain/forks,https://api.github.com/repos/hwchase17/langchain/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42377,16668,42377,325,204656,2013,2023,go-ethereum,ethereum/go-ethereum,https://api.github.com/repos/ethereum/go-ethereum/commits{/sha},https://api.github.com/repos/ethereum/go-ethereum/forks,https://api.github.com/repos/ethereum/go-ethereum/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42368,2262,42368,768,38435,2017,2023,parcel,parcel-bundler/parcel,https://api.github.com/repos/parcel-bundler/parcel/commits{/sha},https://api.github.com/repos/parcel-bundler/parcel/forks,https://api.github.com/repos/parcel-bundler/parcel/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42315,4731,42315,850,205712,2014,2023,gogs,gogs/gogs,https://api.github.com/repos/gogs/gogs/commits{/sha},https://api.github.com/repos/gogs/gogs/forks,https://api.github.com/repos/gogs/gogs/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42309,4211,42309,63,28850,2020,2023,rustdesk,rustdesk/rustdesk,https://api.github.com/repos/rustdesk/rustdesk/commits{/sha},https://api.github.com/repos/rustdesk/rustdesk/forks,https://api.github.com/repos/rustdesk/rustdesk/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
42246,5632,42246,816,98081,2014,2023,babel,babel/babel,https://api.github.com/repos/babel/babel/commits{/sha},https://api.github.com/repos/babel/babel/forks,https://api.github.com/repos/babel/babel/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
42183,10455,42183,84,1790,2013,2023,Projects,karan/Projects,https://api.github.com/repos/karan/Projects/commits{/sha},https://api.github.com/repos/karan/Projects/forks,https://api.github.com/repos/karan/Projects/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42018,6354,42018,538,293271,2013,2023,jest,jestjs/jest,https://api.github.com/repos/jestjs/jest/commits{/sha},https://api.github.com/repos/jestjs/jest/forks,https://api.github.com/repos/jestjs/jest/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
42011,10751,42011,126,38293,2012,2023,build-web-application-with-golang,astaxie/build-web-application-with-golang,https://api.github.com/repos/astaxie/build-web-application-with-golang/commits{/sha},https://api.github.com/repos/astaxie/build-web-application-with-golang/forks,https://api.github.com/repos/astaxie/build-web-application-with-golang/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41999,7640,41999,136,369676,2019,2023,Real-Time-Voice-Cloning,CorentinJ/Real-Time-Voice-Cloning,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning/commits{/sha},https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning/forks,https://api.github.com/repos/CorentinJ/Real-Time-Voice-Cloning/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41731,6206,41731,3776,205364,2016,2023,mastodon,mastodon/mastodon,https://api.github.com/repos/mastodon/mastodon/commits{/sha},https://api.github.com/repos/mastodon/mastodon/forks,https://api.github.com/repos/mastodon/mastodon/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
41565,7265,41565,187,5899,2010,2023,retrofit,square/retrofit,https://api.github.com/repos/square/retrofit/commits{/sha},https://api.github.com/repos/square/retrofit/forks,https://api.github.com/repos/square/retrofit/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41540,1098,41540,793,55554,2021,2023,bun,oven-sh/bun,https://api.github.com/repos/oven-sh/bun/commits{/sha},https://api.github.com/repos/oven-sh/bun/forks,https://api.github.com/repos/oven-sh/bun/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
41348,1080,41348,201,30921,2018,2023,bat,sharkdp/bat,https://api.github.com/repos/sharkdp/bat/commits{/sha},https://api.github.com/repos/sharkdp/bat/forks,https://api.github.com/repos/sharkdp/bat/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
41339,4938,41339,135,16778,2018,2023,sherlock,sherlock-project/sherlock,https://api.github.com/repos/sherlock-project/sherlock/commits{/sha},https://api.github.com/repos/sherlock-project/sherlock/forks,https://api.github.com/repos/sherlock-project/sherlock/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41184,2889,41184,1964,119363,2016,2023,yarn,yarnpkg/yarn,https://api.github.com/repos/yarnpkg/yarn/commits{/sha},https://api.github.com/repos/yarnpkg/yarn/forks,https://api.github.com/repos/yarnpkg/yarn/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41171,8287,41171,2,844,2016,2023,awesome-wechat-weapp,justjavac/awesome-wechat-weapp,https://api.github.com/repos/justjavac/awesome-wechat-weapp/commits{/sha},https://api.github.com/repos/justjavac/awesome-wechat-weapp/forks,https://api.github.com/repos/justjavac/awesome-wechat-weapp/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41089,5283,41089,29,764,2014,2023,github-cheat-sheet,tiimgreen/github-cheat-sheet,https://api.github.com/repos/tiimgreen/github-cheat-sheet/commits{/sha},https://api.github.com/repos/tiimgreen/github-cheat-sheet/forks,https://api.github.com/repos/tiimgreen/github-cheat-sheet/subscribers,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
